age,annual_income,spending_score,work_experience,family_size,profession_doctor,profession_engineer,profession_entertainment,profession_executive,profession_healthcare,profession_homemaker,profession_lawyer,profession_marketing
35,0.410582501,0.61,0.058823529,0.25,0,0,0,0,0,0,0,0
40,0.094749808,0.31,0,0,0,0,0,0,0,0,0,0
23,0.105277564,0.87,0.294117647,0.375,0,0,0,0,0,0,0,0
60,0.20529125,0.04,0,0.25,0,0,0,0,0,0,0,0
21,0.178971859,0.73,0.058823529,0.125,1,0,0,0,0,0,0,0
53,0.310568815,0.04,0.058823529,0.25,0,0,0,0,1,0,0,0
18,0.326360449,0.92,0.529411765,0.75,0,0,0,0,0,1,0,0
49,0.479012918,0.14,0.058823529,0.125,0,0,0,0,0,0,1,0
21,0.50006843,0.81,0.176470588,0.375,0,0,0,0,1,0,0,0
42,0.073694295,0.17,0.294117647,0,1,0,0,0,0,0,0,0
30,0.326360449,0.73,0.058823529,0.5,0,0,0,0,1,0,0,0
36,0.047374904,0.26,0.470588235,0.125,0,0,0,0,0,0,0,0
20,0.363207597,0.75,0.470588235,0.125,0,0,0,0,0,0,0,0
65,0.131596955,0.35,0.235294118,0,0,0,0,0,0,0,0,0
24,0.447429648,0.92,0,0.125,0,0,0,0,1,0,0,0
48,0.115805321,0.36,0.823529412,0.25,0,0,0,0,0,0,0,0
31,0.173707981,0.61,0.058823529,0.125,0,0,0,0,0,0,0,0
49,0.378999231,0.28,0.470588235,0,0,1,0,0,0,0,0,0
24,0.015791635,0.65,0.235294118,0.125,0,0,0,0,0,0,1,0
50,0.273721667,0.55,0,0.375,0,0,0,0,0,0,0,0
27,0.373735353,0.47,0.705882353,0,0,0,0,0,1,0,0,0
29,0.410582501,0.42,0,0.375,0,0,0,0,1,0,0,0
31,0.131596955,0.42,0.058823529,0,0,1,0,0,0,0,0,0
49,0.463221283,0.52,0.058823529,0.125,0,0,0,0,0,0,0,0
33,0.510596187,0.6,0.058823529,0.125,0,0,0,0,0,0,0,0
31,0.389526988,0.54,0.058823529,0,0,0,0,0,0,0,0,0
59,0.357943719,0.6,0,0.125,0,0,1,0,0,0,0,0
50,0.094749808,0.45,0.058823529,0,0,0,0,0,0,0,0,1
47,0.50006843,0.41,0.823529412,0.125,0,0,0,0,0,0,0,0
51,0.373735353,0.5,0.529411765,0.375,0,0,0,0,1,0,0,0
69,0.042111026,0.46,0.470588235,0.125,1,0,0,0,0,0,0,0
27,0.300041058,0.51,0.058823529,0.25,0,0,0,0,0,0,0,0
53,0.468485161,0.46,0.058823529,0.625,0,0,0,0,0,0,1,0
70,0.44216577,0.56,0,0.125,0,0,0,0,0,0,0,0
19,0.263193911,0.55,0.529411765,0.125,0,0,0,0,0,0,0,0
67,0.263193911,0.52,0,0.25,0,0,0,0,0,0,1,0
54,0.252666154,0.59,0.058823529,0.125,0,0,0,0,0,0,1,0
63,0.331624328,0.51,0.411764706,0.125,0,0,0,0,0,0,1,0
18,0.047374904,0.59,0,0.125,0,0,1,0,0,0,0,0
43,0.015791635,0.5,0,0.125,1,0,0,0,0,0,0,0
68,0.431638014,0.48,0.470588235,0.375,0,0,0,0,0,0,0,0
19,0.426374135,0.59,0,0.375,0,0,0,0,0,0,0,0
32,0.510596187,0.47,0.117647059,0.125,0,0,0,0,0,1,0,0
70,0.479012918,0.55,0.470588235,0.125,0,0,0,0,1,0,0,0
47,0.047374904,0.42,0.470588235,0.125,0,0,1,0,0,0,0,0
60,0.231610641,0.49,0,0.5,0,0,0,0,0,0,0,0
60,0.052638782,0.56,0.470588235,0.375,0,0,0,0,1,0,0,0
59,0.468485161,0.47,0,0.375,0,0,0,0,0,0,0,0
26,0.257930033,0.54,0,0.25,0,0,0,0,0,1,0,0
45,0.35267984,0.53,0,0.125,1,0,0,0,0,0,0,0
40,0.521123943,0.48,0.235294118,0.25,0,0,0,0,0,0,0,0
23,0.510596187,0.52,0.117647059,0.125,0,1,0,0,0,0,0,0
49,0.515860065,0.42,0.058823529,0,0,0,0,0,0,0,0,0
57,0.273721667,0.51,0,0.375,0,0,0,0,1,0,0,0
38,0.321096571,0.55,0.352941176,0.25,0,0,0,0,1,0,0,0
67,0.631665386,0.41,0.470588235,0,0,0,0,0,0,0,0,0
46,0.178971859,0.44,0.470588235,0.375,0,0,1,0,0,0,0,0
21,0.126333077,0.57,0.058823529,0.25,0,0,0,0,0,0,0,1
48,0.163180225,0.46,0.411764706,0.5,0,0,0,0,1,0,0,0
55,0.05790266,0.58,0,0.25,0,0,0,0,0,0,0,0
22,0.289513302,0.55,0.294117647,0.125,0,0,0,0,0,0,0,0
34,0.400054744,0.6,0.411764706,0.25,0,0,1,0,0,0,0,0
50,0.29477718,0.46,0,0.125,1,0,0,0,0,0,0,0
68,0.242138398,0.55,0,0.25,0,0,1,0,0,0,0,0
18,0.189499616,0.41,0.058823529,0.375,0,0,0,0,0,0,0,0
48,0.463221283,0.49,0.058823529,0.125,0,0,0,0,0,0,0,0
40,0.163180225,0.4,0.058823529,0.125,0,0,1,0,0,0,0,0
32,0.126333077,0.42,0,0,0,0,0,0,0,0,0,0
24,0.421110257,0.52,0.588235294,0,0,0,0,0,0,0,0,0
47,0.010527756,0.47,0,0,0,0,0,0,0,0,0,0
27,0.35267984,0.5,0,0.125,0,0,0,0,0,0,0,0
48,0.305304936,0.42,0.058823529,0.125,1,0,0,0,0,0,0,0
20,0.421110257,0.49,0.176470588,0.25,0,1,0,0,0,0,0,0
23,0.342152084,0.41,0,0.375,0,0,0,0,0,0,0,0
49,0.021055513,0.48,0.058823529,0.75,0,0,0,1,0,0,0,0
67,0.515860065,0.59,0,0.25,0,0,0,0,0,0,0,0
26,0.273721667,0.55,0,0.5,0,0,0,1,0,0,0,0
49,0.452693526,0.56,0.588235294,0.125,0,0,0,0,1,0,0,0
21,0.431638014,0.42,0.058823529,0.125,1,0,0,0,0,0,0,0
66,0.226346763,0.5,0.176470588,0.125,0,0,0,0,0,1,0,0
54,0.410582501,0.46,0.058823529,0,0,0,0,0,0,0,1,0
68,0.068430417,0.43,0.352941176,0.5,0,0,0,0,1,0,0,0
66,0.068430417,0.48,0.529411765,0.25,0,0,0,0,1,0,0,0
65,0.178971859,0.52,0.235294118,0.375,0,0,1,0,0,0,0,0
19,0.131596955,0.54,0,0,0,0,0,0,0,0,0,0
38,0.373735353,0.42,0.058823529,0.5,1,0,0,0,0,0,0,0
19,0.010527756,0.46,0.058823529,0,0,0,0,0,0,0,0,0
18,0.510596187,0.48,0,0.25,0,0,0,1,0,0,0,0
19,0.268457789,0.5,0.470588235,0.375,0,0,0,1,0,0,0,0
63,0.047374904,0.43,0.058823529,0,0,0,0,0,0,0,1,0
49,0.415846379,0.59,0,0.125,0,0,0,0,0,0,0,0
51,0.44216577,0.43,0.117647059,0.75,0,0,0,0,0,0,0,0
50,0.457957405,0.57,0.058823529,0.125,0,0,0,0,0,0,0,0
27,0.189499616,0.56,0,0.25,0,0,0,1,0,0,0,0
38,0.263193911,0.4,0.058823529,0.375,0,0,0,1,0,0,0,0
40,0.510596187,0.58,0.529411765,0.375,0,1,0,0,0,0,0,0
39,0.031583269,0.91,0.058823529,0.25,0,0,0,0,1,0,0,0
23,0.063166539,0.29,0.529411765,0.125,0,0,1,0,0,0,0,0
31,0.242138398,0.77,0.058823529,0.125,0,0,0,0,0,0,0,1
43,0.468485161,0.35,0,0.75,0,1,0,0,0,0,0,0
40,0.021055513,0.95,0,0.125,0,0,0,0,0,0,0,0
59,0.200027372,0.11,0,0.125,0,1,0,0,0,0,0,0
38,0.336888206,0.75,0.470588235,0.5,0,0,1,0,0,0,0,0
47,0.347415962,0.09,0.529411765,0.5,0,0,0,1,0,0,0,0
39,0.136860834,0.75,0,0.125,0,0,0,0,0,0,1,0
25,0.215819007,0.34,0.352941176,0.375,0,0,0,0,1,0,0,0
31,0.23687452,0.71,0.294117647,0,0,0,0,0,0,0,0,0
20,0.468485161,0.05,0.058823529,0.125,0,1,0,0,0,0,0,0
29,0.484276796,0.88,0.294117647,0.5,0,0,0,1,0,0,0,0
44,0.400054744,0.07,0.294117647,0.125,0,0,0,0,0,0,0,0
32,0.447429648,0.73,0.176470588,0.375,0,0,0,0,0,0,0,0
19,0.115805321,0.1,0.470588235,0.375,0,0,0,0,0,0,0,1
35,0.078958173,0.72,0.235294118,0.375,0,0,0,0,0,0,0,0
57,0.168444103,0.05,0,0.125,0,1,0,0,0,0,0,0
32,0.347415962,0.93,0,0.5,0,0,0,0,0,0,0,0
28,0.326360449,0.4,0.294117647,0.25,1,0,0,0,0,0,0,0
32,0.447429648,0.87,0.058823529,0.125,0,0,0,0,0,0,1,0
25,0.373735353,0.12,0,0.5,0,1,0,0,0,0,0,0
28,0.136860834,0.97,0.470588235,0.5,0,0,0,0,0,0,0,1
48,0.273721667,0.36,0.529411765,0.125,0,1,0,0,0,0,0,0
32,0.200027372,0.74,0.058823529,0,0,0,0,0,0,0,1,0
34,0.268457789,0.22,0.411764706,0.375,0,0,0,0,1,0,0,0
34,0.473749039,0.9,0.352941176,0.25,0,0,0,0,0,0,0,0
43,0.157916346,0.17,0,1,0,0,0,0,0,0,1,0
39,0.215819007,0.88,0,0,0,1,0,0,0,0,0,0
44,0.08948593,0.2,0,0.125,0,1,0,0,0,0,0,0
38,0.484276796,0.76,0.117647059,0.125,0,0,0,0,0,0,0,0
47,0.421110257,0.16,0,0.375,0,0,0,0,1,0,0,0
27,0.052638782,0.89,0.470588235,0.375,0,0,0,0,0,0,0,1
37,0.084222051,0.01,0.058823529,0,0,0,0,1,0,0,0,0
30,0.457957405,0.78,0.176470588,0.375,0,0,0,0,0,0,0,0
34,0.347415962,0.01,0.058823529,0.125,0,0,0,0,0,0,1,0
30,0.452693526,0.73,0.176470588,0.25,0,0,0,0,0,0,0,0
56,0.047374904,0.35,0.058823529,0,0,0,0,0,0,0,0,0
29,0.263193911,0.83,0.058823529,0.5,0,0,0,0,1,0,0,0
19,0.184235738,0.05,0,0.5,0,0,0,1,0,0,0,0
31,0.305304936,0.93,0.058823529,0.5,0,0,0,0,1,0,0,0
50,0.247402276,0.26,0,0.125,1,0,0,0,0,0,0,0
36,0.284249424,0.75,0.294117647,0.25,0,0,0,0,0,0,0,0
42,0.415846379,0.2,0.529411765,0.25,0,0,0,0,0,1,0,0
33,0.436901892,0.95,0,0.5,0,0,0,0,0,0,0,0
36,0.300041058,0.27,0,0.25,0,0,0,0,0,0,0,0
32,0,0.63,0.117647059,0.125,0,0,0,0,0,0,0,0
40,0.363207597,0.13,0.176470588,0.5,0,0,0,0,0,0,0,0
28,0.021055513,0.75,0,0.125,0,0,0,1,0,0,0,0
36,0.415846379,0.1,0,0.125,0,0,0,0,0,0,1,0
36,0.521123943,0.92,0.294117647,0.125,0,0,0,0,0,0,0,0
52,0.105277564,0.13,0,0.125,0,0,0,0,0,0,1,0
30,0.14738859,0.86,0.176470588,0.375,0,0,0,0,0,0,0,0
58,0.152652468,0.15,0.647058824,0,0,1,0,0,0,0,0,0
27,0.23687452,0.69,0.117647059,0.625,0,0,0,0,1,0,0,0
59,0.452693526,0.14,0.235294118,0.25,0,0,0,0,1,0,0,0
35,0.221082885,0.9,0.470588235,0,0,1,0,0,0,0,0,0
37,0.310568815,0.32,0.411764706,0.125,0,0,0,0,0,0,0,0
32,0.321096571,0.86,0.411764706,0.5,0,0,1,0,0,0,0,0
46,0.05790266,0.15,0.411764706,0,0,0,0,0,0,0,0,0
29,0.347415962,0.88,0.235294118,0.375,0,0,0,0,0,0,0,0
41,0.20529125,0.39,0.058823529,0,0,0,0,0,0,0,0,0
30,0.378999231,0.97,0.352941176,0.125,0,0,0,0,0,0,0,0
54,0.073694295,0.24,0.058823529,0.125,0,0,0,0,0,0,1,0
28,0.231610641,0.68,0.294117647,0.25,1,0,0,0,0,0,0,0
41,0.400054744,0.17,0.470588235,0.125,0,1,0,0,0,0,0,0
36,0.50006843,0.85,0.235294118,0.125,0,0,0,0,0,0,0,0
34,0.484276796,0.23,0.294117647,0.25,0,0,0,0,0,0,0,0
32,0.515860065,0.69,0.470588235,0.125,0,0,0,0,0,0,0,0
33,0.505332309,0.08,0.529411765,0.125,0,0,0,1,0,0,0,0
38,0.23687452,0.91,0.588235294,0.375,0,0,0,0,0,0,0,0
47,0.042111026,0.16,0.411764706,0.125,0,0,0,0,0,0,0,0
35,0.242138398,0.79,0.058823529,0.25,0,0,0,1,0,0,0,0
45,0.410582501,0.28,0,0.125,0,0,0,0,0,0,0,0
32,0.021055513,0.74,0.058823529,0.5,0,0,0,0,0,0,0,0
32,0.426374135,0.18,0.058823529,0.125,0,0,0,1,0,0,0,0
30,0.173707981,0.83,0.235294118,0.125,0,0,0,0,0,0,0,0
21,0.210555129,0.1,0,0.25,0,0,0,0,1,0,0,0
34,0.447429648,0.16,0.529411765,0.25,0,0,0,0,1,0,0,0
16,0.315832693,0,0.352941176,0.875,0,1,0,0,0,0,0,0
76,0.315832693,0.39,0.235294118,0.125,0,0,0,0,1,0,0,0
62,0.331624328,0.59,0,0.125,0,0,1,0,0,0,0,0
63,0.052638782,0.52,0.470588235,0.25,0,0,0,0,1,0,0,0
19,0.289513302,0.61,0,0.25,0,0,0,0,1,0,0,0
46,0.489540674,0.12,0.117647059,0,0,0,0,0,0,0,0,0
48,0.078958173,0.07,0,0.125,1,0,0,0,0,0,0,0
80,0.20529125,0.33,0.529411765,0.375,0,1,0,0,0,0,0,0
1,0.300041058,0.93,0.058823529,0.125,0,1,0,0,0,0,0,0
0,0.115805321,0.92,0.117647059,0,0,0,0,0,0,0,0,0
86,0.063166539,0.7,0.117647059,0.375,0,0,0,0,0,0,0,1
49,0.263193911,0.82,0.470588235,0,0,0,0,0,0,0,1,0
48,0.50006843,0.68,0.117647059,0.375,1,0,0,0,0,0,0,0
46,0.347415962,0.7,0.176470588,0.25,0,0,0,0,1,0,0,0
79,0.105277564,0.4,0.352941176,0.125,1,0,0,0,0,0,0,0
83,0.184235738,0.99,0.470588235,0.125,1,0,0,0,0,0,0,0
66,0.373735353,0.34,0.529411765,0.125,0,0,0,1,0,0,0,0
59,0.400054744,0.61,0.529411765,0,0,0,0,0,0,0,0,0
39,0.44216577,0.33,0.294117647,0.25,0,0,0,0,0,0,0,0
95,0.378999231,0.51,0.235294118,0.125,0,1,0,0,0,0,0,0
43,0.173707981,0.55,0.235294118,0.25,0,0,0,0,0,0,0,0
93,0.489540674,0.37,0.058823529,0.5,0,0,0,0,1,0,0,0
40,0.436901892,0.48,0.235294118,0,0,0,0,0,0,1,0,0
78,0.121069199,0.08,0.058823529,0,0,1,0,0,0,0,0,0
25,0.210555129,0.77,0.294117647,0.375,0,0,0,0,0,0,0,0
76,0.468485161,0.86,0.529411765,0.375,0,0,0,0,1,0,0,0
0,0.173707981,0.64,0.058823529,0,0,0,0,0,0,0,0,1
15,0.494804552,0.3,0.411764706,0.125,0,0,0,0,1,0,0,0
6,0.489540674,0.53,0.470588235,0.125,0,0,0,0,0,0,1,0
84,0.036847148,0.28,0,0.375,0,0,0,0,1,0,0,0
67,0.094749808,0.88,0,0.125,0,0,0,0,0,0,1,0
78,0.015791635,0.14,0,0.375,0,0,0,0,1,0,0,0
4,0.44216577,0.54,0.529411765,0,0,0,0,0,0,0,0,0
29,0.326360449,0.34,0,0.375,0,0,0,0,1,0,0,0
91,0.047374904,0.96,0.058823529,0.5,0,0,0,0,1,0,0,0
95,0.189499616,0.35,0,0.375,0,0,0,0,0,0,0,0
55,0.194763494,0.74,0.058823529,0.375,0,0,0,0,0,0,1,0
14,0.263193911,0.11,0.058823529,0.125,0,0,0,0,0,0,0,0
92,0.436901892,0.16,0.058823529,0.5,0,0,0,1,0,0,0,0
65,0.415846379,0.17,0,0.25,0,0,0,0,0,0,0,0
84,0.210555129,0.14,0.058823529,0.375,0,0,0,0,1,0,0,0
77,0.247402276,0.58,0,0.625,0,0,0,0,0,0,0,0
53,0.021055513,0.2,0,0.375,0,0,0,0,0,0,0,0
28,0.200027372,0.75,0.411764706,0.125,0,0,1,0,0,0,0,0
23,0,0.96,0.058823529,0.25,1,0,0,0,0,0,0,0
32,0.036847148,0.16,0.058823529,0.125,0,0,0,0,0,0,0,0
37,0.215819007,0.02,0.058823529,0.125,0,0,0,0,0,0,0,0
89,0.342152084,0,0,0.5,0,1,0,0,0,0,0,0
80,0.105277564,0.93,0.058823529,0.25,0,1,0,0,0,0,0,0
27,0.231610641,0.65,0.470588235,0,1,0,0,0,0,0,0,0
78,0.015791635,0.14,0.294117647,0.375,0,0,0,0,0,0,0,0
86,0.378999231,0.13,0.411764706,0.25,0,0,0,0,0,0,1,0
46,0.142124712,0.32,0.235294118,0.375,0,1,0,0,0,0,0,0
59,0.447429648,0.49,0.235294118,0.125,0,0,0,0,0,0,1,0
12,0.200027372,0.18,0.588235294,0,0,0,0,1,0,0,0,0
79,0.38426311,0.96,0.352941176,0.75,0,0,0,0,0,1,0,0
79,0.336888206,0.64,0.117647059,0.25,0,0,0,0,0,0,0,0
26,0.136860834,0.6,0.352941176,0.375,0,0,0,1,0,0,0,0
63,0.247402276,0.16,0.117647059,0.25,0,0,0,0,0,0,0,0
52,0.184235738,0.85,0.117647059,0.625,1,0,0,0,0,0,0,0
32,0.163180225,0.24,0.117647059,0.25,0,0,0,0,0,0,1,0
64,0.068430417,0.38,0.176470588,0.375,0,1,0,0,0,0,0,0
37,0.415846379,0.1,0.058823529,0.75,0,0,0,0,0,1,0,0
7,0.431638014,0.39,0.117647059,0.125,0,0,1,0,0,0,0,0
40,0.14738859,0.68,0.058823529,0,0,0,0,0,0,0,0,0
78,0.189499616,0.79,0,0.25,0,0,0,0,0,0,0,0
34,0.042111026,0.76,0.352941176,0.625,0,0,1,0,0,0,0,0
52,0.463221283,0.39,0.058823529,0.125,0,0,0,0,0,0,0,0
94,0.479012918,0.36,0,0.375,0,0,1,0,0,0,0,0
1,0.063166539,0.82,0,0.25,1,0,0,0,0,0,0,0
96,0.005263878,0.76,0,0.25,0,0,1,0,0,0,0,0
18,0.752734585,0.99,0,0.125,0,0,0,0,0,0,0,0
37,0.094749808,0.57,0.058823529,0.125,0,0,0,0,0,0,0,0
78,0.342152084,0.89,0.058823529,0.125,0,0,0,0,0,0,1,0
16,0.047374904,0.88,0.411764706,0.375,0,0,0,1,0,0,0,0
93,0.50006843,0.21,0.058823529,0,0,0,0,0,0,0,0,0
74,0.410582501,0.12,0.529411765,0.25,0,1,0,0,0,0,0,0
68,0.252666154,0.73,0.176470588,0.25,0,0,0,0,1,0,0,0
32,0.331624328,0.87,0.058823529,0.375,0,0,0,1,0,0,0,0
43,0.447429648,0.63,0.058823529,0.125,0,0,0,0,0,0,0,1
52,0.226346763,0.58,0.058823529,0.25,0,0,0,0,0,0,0,0
63,0.389526988,0.2,0.058823529,0.125,0,0,0,0,0,0,0,0
33,0.35267984,0.11,0,0,0,0,0,0,1,0,0,0
86,0.310568815,0.4,0,0,0,0,0,0,0,0,0,0
85,0.73694295,0.84,0.058823529,0,0,0,1,0,0,0,0,0
73,0.163180225,0.47,0.058823529,0.125,0,0,0,0,1,0,0,0
21,0.026319391,0.91,0,0,0,0,0,0,0,0,0,1
93,0.100013686,0.58,0.058823529,0.25,0,1,0,0,0,0,0,0
9,0.142124712,0.62,0.411764706,0,0,0,1,0,0,0,0,0
10,0.357943719,0.8,0.352941176,0.25,1,0,0,0,0,0,0,0
11,0.200027372,0.66,0.470588235,0.875,0,0,0,0,0,0,0,0
48,0.263193911,0.36,0.352941176,0.375,0,1,0,0,0,0,0,0
73,0.421110257,0.73,0.117647059,0.125,0,0,1,0,0,0,0,0
66,0.363207597,0.43,0.529411765,0.25,0,0,0,1,0,0,0,0
79,0.163180225,0.91,0.176470588,0.25,0,1,0,0,0,0,0,0
62,0.457957405,0.41,0.352941176,0.125,1,0,0,0,0,0,0,0
17,0.415846379,0.16,0.058823529,0.25,0,0,0,0,0,0,0,0
32,0.168444103,0.86,0.294117647,0.125,0,0,1,0,0,0,0,0
85,0.809516039,1,0.176470588,0.25,0,0,1,0,0,0,0,0
31,0.504547991,0.16,0.294117647,0.125,0,0,0,0,1,0,0,0
31,0.763341299,0.73,0.352941176,0.25,0,0,0,0,1,0,0,0
38,0.781891206,0.07,0.294117647,0.125,0,0,0,0,1,0,0,0
90,0.617552928,0.21,0.058823529,0.125,0,0,0,0,0,0,1,0
65,0.948777201,0.26,0.352941176,0.125,0,0,0,0,0,0,0,1
63,0.868813627,0.12,0.235294118,0.125,0,0,0,0,0,0,0,0
61,0.634228894,0.14,0,0.125,1,0,0,0,0,0,0,0
26,0.593586491,0.83,0.470588235,0.375,0,1,0,0,0,0,0,0
17,0.823733774,0.65,0.058823529,0.375,0,1,0,0,0,0,0,0
56,0.513554486,0.15,0.294117647,0.625,0,0,0,1,0,0,0,0
12,0.407955826,0.3,0.294117647,0.375,0,1,0,0,0,0,0,0
24,0.622727321,1,0.294117647,0,0,0,0,0,0,0,1,0
13,0.3383463,0.09,0.529411765,0.375,0,0,0,1,0,0,0,0
12,0.28386516,0.77,0.117647059,0.25,1,0,0,0,0,0,0,0
72,0.494388706,0.93,0.529411765,0.125,0,0,0,0,0,0,1,0
54,0.695074063,0.08,0.235294118,0.375,0,0,0,0,0,1,0,0
45,0.964431975,0.91,0.411764706,0.125,0,0,0,0,0,0,0,0
66,0.962958089,0.44,0.470588235,0,0,0,0,0,0,0,0,1
27,0.359375493,0.56,0.470588235,0.375,0,0,0,0,1,0,0,0
36,0.367634518,0.21,0.588235294,0.125,0,1,0,0,0,0,0,0
5,0.363618179,0.6,0.764705882,0,0,0,0,0,0,0,1,0
89,0.58253761,1,0.117647059,0.375,0,0,0,0,1,0,0,0
13,0.502537189,0.94,0.352941176,0,1,0,0,0,0,0,0,0
91,0.541447777,0.4,0.235294118,0,0,0,0,0,0,0,0,0
16,0.702996199,0.07,0.176470588,0,0,0,0,0,0,0,0,0
63,0.33998863,0.9,0.411764706,0,0,1,0,0,0,0,0,0
52,0.804083717,0.39,0.235294118,0.125,0,1,0,0,0,0,0,0
37,0.48592439,0.58,0.058823529,0.5,0,0,0,0,1,0,0,0
78,0.520713361,0.02,0.117647059,0.25,0,0,0,0,0,0,0,0
24,0.872993146,0.33,0,0.375,0,1,0,0,0,0,0,0
4,0.493293819,0.62,0.176470588,0.375,0,1,0,0,0,0,0,0
84,0.724525461,0.67,0,0.5,0,0,0,0,1,0,0,0
0,0.914561993,0.96,0,0.375,0,0,0,0,0,0,0,0
67,0.611273122,0.58,0.588235294,0.125,0,0,1,0,0,0,0,0
32,0.590849274,0.3,0.470588235,0.25,0,0,0,0,1,0,0,0
39,0.365228926,0.75,0.058823529,0.5,0,0,0,0,1,0,0,0
68,0.402839336,0.62,0,0.125,0,0,0,0,1,0,0,0
7,0.651689179,0.28,0.823529412,0,1,0,0,0,0,0,0,0
76,0.359480771,0.55,0.470588235,0.125,0,0,0,0,0,0,0,0
84,0.911624749,0.99,0.176470588,0,0,0,0,0,0,0,0,0
75,0.747649678,0.82,0.058823529,0.375,0,0,1,0,0,0,0,0
22,0.568188278,0.61,0,0,0,0,0,0,0,0,0,0
90,0.788739512,0.61,0.058823529,0,0,1,0,0,0,0,0,0
4,0.781322707,0.99,0.058823529,0.875,0,0,0,0,1,0,0,0
78,0.666401718,0.84,0,0.25,0,0,0,0,0,0,1,0
58,0.300988556,0.22,0.529411765,0,0,0,0,0,1,0,0,0
99,0.970796004,0.41,0.529411765,0,0,0,0,0,0,0,0,0
24,0.79529304,0.39,0.117647059,0.5,0,0,0,0,0,0,0,1
88,0.874367019,0.98,0.764705882,0.375,0,0,0,0,0,0,0,0
92,0.357154137,0.91,0.529411765,0.375,0,0,0,0,0,0,0,0
99,0.912724899,0.04,0.764705882,0,0,1,0,0,0,0,0,0
51,0.380594187,0.98,0.411764706,0,0,0,0,0,0,0,1,0
23,0.956762504,0.35,0.823529412,0.25,0,0,0,0,1,0,0,0
13,0.773042627,0.75,0.529411765,0,1,0,0,0,0,0,0,0
22,0.910245613,0.2,0.352941176,0,0,1,0,0,0,0,0,0
89,0.609615,0.87,0.647058824,0.375,0,0,0,0,0,1,0,0
20,0.970259088,0.51,0.764705882,0.5,0,0,0,0,0,0,0,1
72,0.354537989,0.19,0.529411765,0.25,0,0,0,0,0,0,1,0
17,0.87379852,0.71,0.529411765,0.25,0,0,0,0,1,0,0,0
90,0.868087212,0.18,0.470588235,0.25,0,0,0,0,0,0,0,0
99,0.333540379,0.61,0.058823529,0.125,0,0,1,0,0,0,0,0
39,0.95987872,0.73,0.235294118,0.25,0,1,0,0,0,0,0,0
37,0.781917526,0.56,0.058823529,0.125,0,0,1,0,0,0,0,0
46,0.33074526,0.85,0.058823529,0.125,0,0,0,0,0,0,0,0
65,0.634965837,0.72,0,0.125,0,0,0,0,1,0,0,0
60,0.689031131,0.3,0.058823529,0,0,0,0,0,0,0,0,0
93,0.54286376,0.74,0.705882353,0.25,0,0,0,1,0,0,0,0
72,0.561555792,0.15,0.529411765,0.5,0,0,0,0,1,0,0,0
36,0.459815554,0.25,0.058823529,0.5,0,0,1,0,0,0,0,0
52,0.463463421,0.61,0.470588235,0,0,0,0,0,0,0,0,0
72,0.516744397,0.49,0.058823529,0.125,0,0,1,0,0,0,0,0
28,0.93836525,0.05,0.117647059,0,0,0,0,0,0,0,1,0
48,0.880288882,0.92,0.352941176,0.375,1,0,0,0,0,0,0,0
85,0.739459084,0.43,0.352941176,0.375,1,0,0,0,0,0,0,0
22,0.838514744,0.83,0.470588235,0,0,0,0,0,0,0,0,0
30,0.75822481,0.78,0.058823529,0,1,0,0,0,0,0,0,0
